-2316,-328237,-316145,-304835,-294445,-284995,-276211,-268257,-261107,-254786,-249279,-244523,-240523,-237250,-234739,-232982,-231973,-231704,-232130,-233285,-235183,-237722,-241030,-245011,-249690,-255067,-261170,-267942,-275432,-283528,-292253,-301643,-311735,-322505
1942,-404687,-386664,-368802,-351404,-334434,-999999,-303404,-289675,-277243,-266191,-256580,-248633,-242079,-237087,-233681,-999999,-231713,-233166,-236274,-241035,-247401,-255368,-265061,-276348,-289241,-303661,-319522,-336528,-354821,-373894,-393715,-413776,-433504
-2381,-330787,-318327,-306742,-296047,-286378,-277365,-269198,-261905,-255416,-249747,-244874,-240815,-237531,-235049,-233329,-232330,-232088,-232553,-233743,-235665,-238244,-241575,-245606,-250330,-255773,-261911,-268747,-276304,-999999,-293686,-303511,-314050,-325362
2561,-484340,-465865,-443698,-420367,-396065,-372069,-348965,-327079,-306988,-288787,-272900,-259470,-248609,-240412,-234877,-232084,-232086,-234900,-240613,-249261,-260952,-999999,-293465,-314292,-337694,-363173,-390182,-417398,-443356,-466285,-485591,-499614,-508417
2107,-316082,-306292,-297224,-288739,-280796,-273520,-266846,-260826,-255420,-250672,-246523,-243009,-240143,-237923,-236378,-235471,-235264,-235717,-236831,-238649,-241165,-244362,-248283,-252863,-258191,-264242,-270956,-278354,-999999,-295336,-304914,-315196,-326163
-2705,-509931,-500036,-482474,-460643,-436951,-412465,-387421,-362593,-338809,-316597,-296542,-279139,-264500,-252659,-243847,-999999,-235290,-235479,-238613,-244615,-253379,-264677,-278671,-294946,-313287,-333344,-354866,-377292,-400708,-424637,-448510,-472546,-492266
2138,-315683,-305926,-296670,-288101,-280068,-272660,-265946,-259858,-254470,-249780,-245808,-242440,-239740,-237730,-236410,-235802,-235901,-236672,-238156,-240310,-999999,-246754,-251015,-256006,-261711,-268139,-275192,-283011,-291546,-300734,-310634,-321181,-332330
-2115,-443092,-423089,-402983,-383252,-364225,-345948,-328420,-312005,-296777,-283168,-271204,-260899,-252343,-245537,-240508,-237251,-235784,-236067,-238071,-241798,-247206,-254248,-262912,-273100,-284750,-297672,-312003,-327392,-343720,-360748,-378564,-397058,-416165
2043,-316033,-306671,-297936,-289715,-282015,-274906,-268435,-262588,-257343,-252753,-248806,-245458,-242745,-240626,-239133,-238233,-237971,-238338,-239313,-240919,-243154,-246064,-249573,-253737,-258566,-264059,-270259,-277147,-284718,-292930,-301803,-311319,-321467
-1269,-318242,-308895,-300035,-291715,-283927,-276699,-269998,-263875,-258388,-999999,-249412,-245903,-243040,-240823,-239264,-238320,-237981,-238285,-239210,-240751,-242903,-245630,-248922,-252758,-257129,-262055,-267478,-273372,-279771,-286608,-293725,-301337,-309360
-21560,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999
2120,-310420,-301016,-292208,-284009,-276447,-269478,-263154,-257418,-252331,-247888,-244090,-240956,-238489,-236681,-235585,-235115,-235313,-236186,-237791,-240077,-243045,-246717,-251085,-256119,-261862,-268329,-275542,-283459,-292108,-301437,-311389,-322174,-333579
1982,-406048,-387939,-370029,-352657,-335733,-319665,-304566,-290657,-278019,-266863,-257254,-249284,-242979,-238369,-235492,-234408,-235110,-237603,-241955,-248139,-256173,-266088,-277796,-291280,-306393,-323087,-341098,-360183,-379993,-400515,-421225,-441762,-462083
2113,-312559,-302998,-294092,-285816,-278113,-999999,-264565,-258688,-253406,-248745,-244689,-241231,-238391,-236199,-234663,-233760,-233507,-233883,-234900,-236604,-239004,-242051,-245786,-250193,-255260,-261009,-267456,-274624,-282515,-291145,-300479,-310599,-321355
