base_dac_y,base_dac_x,max_cross_x_index,max_cross_y_index,max_cross_x,max_cross_y,fit_x,fit_y
-2253,-2148,16,16,-239373,-239393,-2188,-2084
-2251,-1288,16,16,-240086,-240126,-2185,-1223
-2340,1155,16,17,-236523,-236610,-2274,1218
-2339,2019,15,16,-239611,-240044,-2274,2080
-2262,2612,15,16,-238776,-239672,-2199,2672
2096,-2767,16,16,-240486,-240419,2160,-2703
2029,-2169,16,16,-243091,-243135,2091,-2104
2029,-1305,16,16,-245529,-245512,2093,-1241
2044,1161,15,16,-246068,-246350,2106,1221
2147,2028,15,16,-246504,-246811,2209,2089
2155,NULL,NULL,NULL,NULL,NULL,NULL,NULL
285,2668,16,15,-243535,-243538,345,2727
224,2078,15,19,-241059,-241836,297.1,2141
-715,1244,15,17,-242392,-242514,-645,1305
-758,-1213,16,17,-241926,-241934,-689.1,-1149
-773,-2114,16,16,-240985,-241005,-708.9,-2050
-490,-2726,16,13,-238913,-238912,-436.1,-2660
-2288,-2754,16,16,-238834,-238824,-2224,-2689
-2350,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2348,-1281,16,16,-240623,-240712,-2282,-1216
-2334,1183,15,16,-242872,-243132,-2269,1244
-2237,2040,15,16,-239734,-240527,-2171,2100
-2230,2637,15,16,-243496,-243886,-2166,2698
2120,-2864,17,16,-244367,-244610,2183,-2797
