IL,IL_step,MPO_in,MPO_out,c1,c2,c4,device,RECAL1,mems_SW,sweep_count,peak_ok_count,peak_fail_count,Y_ok,X_ok,verdict,path_files,csv_lines
0.6081,483,MPO41-3,MPO89-3,27,15,59,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2729;2730
0.6081,483,MPO41-3,MPO89-3,27,15,59,2#叶子,RECAL 1 6 27 1 1 59,SW4,4,3,1,1,1,OK,pm_pm_1x64_2,2841;2842;2843;2844
0.6081,483,MPO41-3,MPO89-3,27,15,59,1#MCS,RECAL 1 3 27 15 15 59,,2,2,0,1,1,OK,pm_pm_mcs1,1051;1052
0.6081,483,MPO41-3,MPO89-3,27,15,59,2#MCS,RECAL 1 4 27 15 15 59,,2,2,0,1,1,OK,pm_pm_mcs2,2347;2348
0.8781,484,MPO41-4,MPO89-4,27,16,59,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,5,3,2,1,1,OK,pm_pm_1x64_1,2572;2573;2574;2575;2576
0.8781,484,MPO41-4,MPO89-4,27,16,59,1#叶子,RECAL 1 2 27 1 1 59,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2625;2626
0.8781,484,MPO41-4,MPO89-4,27,16,59,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2729;2730
0.8781,484,MPO41-4,MPO89-4,27,16,59,2#叶子,RECAL 1 6 27 1 1 59,SW4,4,3,1,1,1,OK,pm_pm_1x64_2,2841;2842;2843;2844
0.8781,484,MPO41-4,MPO89-4,27,16,59,1#MCS,RECAL 1 3 27 16 16 59,,2,2,0,1,1,OK,pm_pm_mcs1,1053;1054
0.8781,484,MPO41-4,MPO89-4,27,16,59,2#MCS,RECAL 1 4 27 16 16 59,,2,2,0,1,1,OK,pm_pm_mcs2,2349;2350
1.6439,485,MPO41-5,MPO89-5,27,17,59,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,5,3,2,1,1,OK,pm_pm_1x64_1,2572;2573;2574;2575;2576
1.6439,485,MPO41-5,MPO89-5,27,17,59,1#叶子,RECAL 1 2 27 1 1 59,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2625;2626
1.6439,485,MPO41-5,MPO89-5,27,17,59,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2729;2730
1.6439,485,MPO41-5,MPO89-5,27,17,59,2#叶子,RECAL 1 6 27 1 1 59,SW4,4,3,1,1,1,OK,pm_pm_1x64_2,2841;2842;2843;2844
1.6439,485,MPO41-5,MPO89-5,27,17,59,1#MCS,RECAL 1 3 27 17 17 59,,2,2,0,1,1,OK,pm_pm_mcs1,1055;1056
1.6439,485,MPO41-5,MPO89-5,27,17,59,2#MCS,RECAL 1 4 27 17 17 59,,2,2,0,1,1,OK,pm_pm_mcs2,2351;2352
2.4622,486,MPO41-6,MPO89-6,27,18,59,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,5,3,2,1,1,OK,pm_pm_1x64_1,2572;2573;2574;2575;2576
2.4622,486,MPO41-6,MPO89-6,27,18,59,1#叶子,RECAL 1 2 27 1 1 59,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2625;2626
2.4622,486,MPO41-6,MPO89-6,27,18,59,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2729;2730
2.4622,486,MPO41-6,MPO89-6,27,18,59,2#叶子,RECAL 1 6 27 1 1 59,SW4,4,3,1,1,1,OK,pm_pm_1x64_2,2841;2842;2843;2844
2.4622,486,MPO41-6,MPO89-6,27,18,59,1#MCS,RECAL 1 3 27 18 18 59,,2,2,0,1,1,OK,pm_pm_mcs1,1057;1058
2.4622,486,MPO41-6,MPO89-6,27,18,59,2#MCS,RECAL 1 4 27 18 18 59,,2,2,0,1,1,OK,pm_pm_mcs2,2353;2354
