line_no,cmd,sweep_mode,base_x,base_y,legacy_5param,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
1777,RECAL 3 1 9999 -2341 64 4 80,1,9999,-2341,0,64,4,80,-2109.000000,33,1,Ok,210012.000000,NonMono,16,-245519.000000,15.608118,16,-2046.567530,5,[14]=-247501;[15]=-245690;[16]=-245519;[17]=-246986;[18]=-250129
1778,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2403.000000,33,1,Ok,80520.000000,NonMono,16,-241570.000000,15.979140,16,-2339.083441,9,[12]=-246443;[13]=-244297;[14]=-242787;[15]=-241873;[16]=-241570;[17]=-241908;[18]=-242837;[19]=-244391;[20]=-246584
1779,RECAL 3 1 9999 -2339 64 4 80,1,9999,-2339,0,64,4,80,-1041.000000,33,1,Ok,48496.000000,NonMono,15,-241477.000000,15.185786,15,-980.256858,9,[11]=-244723;[12]=-243331;[13]=-242352;[14]=-241720;[15]=-241477;[16]=-241585;[17]=-242048;[18]=-242898;[19]=-244064
1780,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2508.000000,33,1,Ok,88242.000000,NonMono,16,-239527.000000,16.044302,16,-2443.822793,7,[13]=-242670;[14]=-240951;[15]=-239897;[16]=-239527;[17]=-239834;[18]=-240846;[19]=-242531
1781,RECAL 3 1 9999 -2444 64 4 80,1,9999,-2444,0,64,4,80,1484.000000,33,1,Ok,139420.000000,NonMono,15,-239116.000000,15.096900,15,1544.387600,7,[12]=-243551;[13]=-241182;[14]=-239677;[15]=-239116;[16]=-239488;[17]=-240890;[18]=-243219
1782,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2437.000000,33,1,Ok,86571.000000,NonMono,16,-244486.000000,16.450741,16,-2371.197038,7,[13]=-248184;[14]=-246328;[15]=-245080;[16]=-244486;[17]=-244517;[18]=-245183;[19]=-246488
1783,RECAL 3 1 9999 -2371 64 4 80,1,9999,-2371,0,64,4,80,2307.000000,33,1,Ok,244528.000000,NonMono,15,-243498.000000,15.076539,15,2367.306158,5,[13]=-248223;[14]=-244772;[15]=-243498;[16]=-244438;[17]=-247569
1784,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2451.000000,33,1,Ok,83392.000000,NonMono,16,-246434.000000,16.323752,16,-2385.704990,7,[13]=-249760;[14]=-248061;[15]=-246945;[16]=-246434;[17]=-246556;[18]=-247284;[19]=-248656
1785,RECAL 3 1 9999 -2386 64 4 80,1,9999,-2386,0,64,4,80,2913.000000,33,1,Ok,248623.000000,NonMono,15,-246265.000000,15.465251,15,2974.861004,17,[7]=-361690;[8]=-336277;[9]=-313763;[10]=-294441;[11]=-278306;[12]=-265461;[13]=-255794;[14]=-249422;[15]=-246265;[16]=-246384;[17]=-249775;[18]=-256390;[19]=-266279;[20]=-279373;[21]=-295715;[22]=-315114;[23]=-337511
1786,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2346.000000,33,1,Ok,104873.000000,NonMono,15,-229007.000000,15.327052,15,2407.308209,7,[12]=-232794;[13]=-230836;[14]=-229575;[15]=-229007;[16]=-229114;[17]=-229944;[18]=-231474
