cmd,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33
RECAL 3 1 -21 64 4 80,2786,-284360,-284360,-284076,-283935,-283568,-282604,-280371,-274645,-261835,-240323,-216158,-193766,-175225,-158304,-144959,-135170,-128947,-126200,-126929,-131132,-138784,-149869,-164401,-181848,-200853,-222978,-245357,-264268,-275023,-279810,-281877,-283329,-283779
RECAL 3 0 9999 64 4 80,268,-121088,-121018,-120937,-120863,-120782,-120728,-120673,-120626,-120592,-120554,-120540,-120533,-120533,-120529,-120548,-120571,-120593,-120657,-120721,-120794,-120882,-120994,-121103,-121237,-121364,-121513,-121687,-121882,-122069,-122298,-122518,-122782,-123076
RECAL 3 1 315 64 4 80,2173,-282805,-282427,-280312,-276339,-269066,-255397,-237580,-218345,-199793,-183665,-168734,-155316,-144080,-134938,-127960,-123097,-120527,-120139,-121976,-126048,-132286,-140733,-151277,-999999,-178795,-193837,-211693,-230446,-248506,-263836,-273232,-278452,-280866
RECAL 3 0 9999 64 4 80,411,-123018,-122757,-122510,-122277,-122069,-121856,-121704,-121534,-121391,-121263,-121166,-121086,-121036,-120997,-120996,-121004,-121055,-121118,-121214,-121317,-121462,-121633,-121833,-122075,-122309,-122592,-122925,-123281,-123682,-124118,-124575,-125076,-125635
RECAL 3 1 467 64 4 80,1305,-218389,-207471,-196950,-187343,-178845,-169920,-161629,-154048,-147285,-141218,-135962,-131466,-127751,-124809,-122706,-121437,-120972,-121348,-122547,-124644,-127633,-131445,-136159,-141736,-148191,-155554,-163711,-172836,-182392,-191920,-202851,-214700,-226540
RECAL 3 0 9999 64 4 80,-488,-123062,-122713,-122401,-122147,-121904,-121677,-121479,-121310,-121159,-121056,-120968,-120887,-120818,-120786,-120777,-120800,-120826,-120877,-120937,-121034,-121143,-121266,-121397,-121573,-121733,-121924,-122126,-122314,-122556,-122790,-123044,-123318,-123597
RECAL 3 1 -432 64 4 80,-1245,-190171,-182232,-174151,-166207,-158923,-152279,-146267,-140874,-136159,-132026,-128546,-125707,-123432,-121839,-120872,-120513,-120772,-121658,-123138,-125265,-128002,-131338,-135253,-139804,-144821,-150462,-156693,-163501,-170801,-178704,-186026,-194131,-202944
RECAL 3 0 9999 64 4 80,-377,-122654,-122498,-122317,-122186,-122075,-121959,-121848,-121769,-121713,-121659,-121602,-121588,-121557,-121548,-121569,-121575,-121591,-121637,-121673,-121728,-121788,-121850,-121929,-122013,-122109,-122204,-122309,-122387,-122518,-122647,-122764,-122900,-123047
RECAL 3 1 -324 64 4 80,-2193,-276783,-270851,-260175,-245235,-228214,-211151,-194553,-180355,-166377,-153966,-143527,-134960,-128340,-123663,-120972,-120248,-121509,-124752,-130027,-137280,-146568,-157749,-170989,-185345,-201232,-219011,-237270,-254314,-267736,-275407,-279593,-281572,-282724
RECAL 3 0 9999 64 4 80,590,-139226,-138650,-138111,-137612,-137128,-136707,-136298,-135956,-135633,-135349,-135105,-134900,-134737,-134610,-134524,-134471,-134471,-134524,-134599,-134745,-134904,-135147,-135431,-135787,-136175,-136615,-137096,-137652,-138292,-138939,-139660,-140453,-141324
